Mun1.30Zm1.71T00.1413,                                          2.0400,   6.4176,   5.4276,  -0.1253,  -0.0566,   0.2130,  -0.0403,   5.6078,   4.9922,   2.1013,   1.8007,   1.0142,   0.4459,   0.0682,   0.3708,   0.8504,   0.3344,   4.4771,   5.3124,   4.2927,  -0.3461,   0.3401,  -0.0225,   1.5726,   0.0180,   0.0439,   0.5232,   0.8685,   0.9009,   0.5211,   0.3512,   0.3039,   0.8184,   0.0116,   0.0200,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.1585,                                          2.1928,   6.6209,   5.5359,  -0.1305,  -0.0620,   0.2138,  -0.0318,   5.7373,   5.0549,   2.1132,   1.8111,   1.0224,   0.4529,   0.0055,   0.3380,   0.8554,   0.3629,   4.5045,   5.3858,   4.3242,  -0.3587,   0.3241,  -0.0188,   1.5738,   0.0174,   0.0430,   0.5354,   0.8773,   0.9088,   0.5104,   0.3429,   0.3128,   0.8545,   0.0112,   0.0177,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.1778,                                          2.2278,   6.6458,   5.5686,  -0.1310,  -0.0623,   0.2210,   0.0010,   5.7371,   5.0782,   2.1254,   1.8205,   1.0248,   0.4505,   0.0170,   0.3238,   0.8724,   0.3786,   4.5182,   5.3871,   4.3353,  -0.3512,   0.3236,  -0.0189,   1.5755,   0.0179,   0.0442,   0.5612,   0.8832,   0.9208,   0.5163,   0.3456,   0.3134,   0.8446,   0.0118,   0.0193,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.1995,                                          2.2064,   6.7036,   5.6228,  -0.1321,  -0.0626,   0.2319,   0.0193,   5.7529,   5.1064,   2.1351,   1.8254,   1.0210,   0.4403,   0.0183,   0.3071,   0.8865,   0.3813,   4.5263,   5.3863,   4.3418,  -0.3311,   0.3374,  -0.0195,   1.5985,   0.0192,   0.0472,   0.5910,   0.9029,   0.9399,   0.5435,   0.3631,   0.3208,   0.8775,   0.0130,   0.0228,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.2239,                                          2.4335,   7.0739,   5.8605,  -0.1406,  -0.0695,   0.2262,  -0.1032,   6.1457,   5.3327,   2.2153,   1.8970,   1.0743,   0.4803,  -0.0998,   0.2812,   0.8817,   0.3720,   4.7121,   5.6541,   4.5199,  -0.3466,   0.3195,  -0.0145,   1.5801,   0.0184,   0.0463,   0.5888,   0.8893,   0.9236,   0.5355,   0.3488,   0.3221,   0.8781,   0.0126,   0.0212,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.2512,                                          2.5040,   7.3188,   6.0082,  -0.1456,  -0.0741,   0.2198,  -0.1988,   6.4009,   5.4979,   2.2681,   1.9418,   1.1028,   0.4970,  -0.1499,   0.2702,   0.8739,   0.3283,   4.8649,   5.8376,   4.6562,  -0.3554,   0.3057,  -0.0140,   1.5302,   0.0176,   0.0460,   0.5909,   0.8649,   0.9026,   0.5324,   0.3371,   0.3181,   0.8605,   0.0129,   0.0217,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.2818,                                          2.5851,   7.7187,   6.2280,  -0.1545,  -0.0830,   0.2081,  -0.3540,   6.8284,   5.7348,   2.3469,   2.0149,   1.1630,   0.5478,  -0.2633,   0.2611,   0.8571,   0.2996,   5.0696,   6.1321,   4.8456,  -0.3751,   0.2877,  -0.0104,   1.4821,   0.0164,   0.0445,   0.5911,   0.8335,   0.8772,   0.5142,   0.3189,   0.3143,   0.8492,   0.0130,   0.0214,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.3162,                                          2.5233,   7.7701,   6.2590,  -0.1560,  -0.0846,   0.1976,  -0.3731,   6.8598,   5.7668,   2.3370,   2.0030,   1.1452,   0.5264,  -0.2797,   0.2380,   0.7983,   0.2607,   5.1441,   6.1767,   4.8987,  -0.3714,   0.2485,  -0.0138,   1.3439,   0.0155,   0.0416,   0.5729,   0.7763,   0.8267,   0.4663,   0.2901,   0.2840,   0.8038,   0.0130,   0.0197,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.3548,                                          2.6904,   8.0478,   6.4275,  -0.1618,  -0.0904,   0.1974,  -0.4570,   7.1214,   5.8985,   2.3701,   2.0341,   1.1742,   0.5540,  -0.3372,   0.2398,   0.7661,   0.3367,   5.2300,   6.3335,   4.9782,  -0.3894,   0.2319,  -0.0176,   1.3273,   0.0159,   0.0402,   0.5626,   0.7784,   0.8104,   0.4358,   0.2832,   0.2633,   0.8112,   0.0128,   0.0190,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.3981,                                          2.6838,   8.2210,   6.4624,  -0.1662,  -0.0960,   0.2034,  -0.4546,   7.2504,   5.9248,   2.3813,   2.0487,   1.1964,   0.5814,  -0.4192,   0.2346,   0.7884,   0.3554,   5.2287,   6.3984,   4.9885,  -0.4072,   0.2304,  -0.0157,   1.3424,   0.0156,   0.0402,   0.5839,   0.7834,   0.8253,   0.4383,   0.2861,   0.2524,   0.8059,   0.0128,   0.0193,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.4467,                                          2.7666,   8.3166,   6.5162,  -0.1682,  -0.0980,   0.2044,  -0.4683,   7.3391,   5.9698,   2.3969,   2.0623,   1.2063,   0.5883,  -0.4412,   0.2236,   0.7881,   0.4152,   5.2534,   6.4436,   5.0126,  -0.4276,   0.2154,  -0.0166,   1.3222,   0.0170,   0.0400,   0.5582,   0.7875,   0.8167,   0.4338,   0.2802,   0.2404,   0.8120,   0.0126,   0.0183,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.5012,                                          2.7878,   8.5230,   6.6029,  -0.1736,  -0.1038,   0.2041,  -0.4644,   7.5171,   6.0438,   2.4250,   2.0882,   1.2255,   0.6023,  -0.4770,   0.2079,   0.8127,   0.3846,   5.3143,   6.5457,   5.0730,  -0.4521,   0.1987,  -0.0139,   1.2715,   0.0160,   0.0386,   0.5754,   0.7651,   0.7953,   0.4174,   0.2669,   0.2272,   0.8012,   0.0114,   0.0164,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.5623,                                          2.7613,   8.5358,   6.5889,  -0.1739,  -0.1046,   0.2077,  -0.4373,   7.4956,   6.0143,   2.4155,   2.0800,   1.2220,   0.6022,  -0.4783,   0.2131,   0.8422,   0.4063,   5.2855,   6.5213,   5.0490,  -0.4513,   0.2079,  -0.0120,   1.3019,   0.0157,   0.0391,   0.5939,   0.7791,   0.8025,   0.4254,   0.2711,   0.2292,   0.8161,   0.0114,   0.0168,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.6310,                                          2.8820,   8.5960,   6.5928,  -0.1756,  -0.1068,   0.2084,  -0.3916,   7.5308,   6.0059,   2.4175,   2.0838,   1.2306,   0.6141,  -0.5320,   0.2046,   0.8652,   0.4795,   5.2490,   6.5310,   5.0254,  -0.4691,   0.2033,  -0.0104,   1.3228,   0.0172,   0.0389,   0.5668,   0.7978,   0.8116,   0.4309,   0.2614,   0.2171,   0.8303,   0.0113,   0.0156,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.7079,                                          2.7243,   8.3924,   6.4251,  -0.1720,  -0.1053,   0.2189,  -0.2437,   7.2547,   5.8099,   2.3445,   2.0184,   1.1859,   0.5851,  -0.4860,   0.2056,   0.8774,   0.4487,   5.1183,   6.3626,   4.9029,  -0.4636,   0.2041,  -0.0086,   1.3170,   0.0158,   0.0393,   0.6042,   0.7932,   0.8065,   0.4272,   0.2563,   0.2117,   0.8197,   0.0109,   0.0149,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T00.7943,                                          2.7028,   8.2476,   6.3005,  -0.1689,  -0.1037,   0.2253,  -0.1063,   7.0354,   5.6622,   2.3010,   1.9821,   1.1652,   0.5755,  -0.4313,   0.2107,   0.9264,   0.4734,   5.0015,   6.2308,   4.7947,  -0.4730,   0.2152,  -0.0058,   1.3656,   0.0156,   0.0399,   0.6205,   0.8131,   0.8235,   0.4341,   0.2535,   0.2090,   0.8315,   0.0107,   0.0145,  99.9999,  99.9999,  99.9999
